half 2 0.300000 0.154406 0.023761 395 7.717172 0.472269 0.293559 0.083923
grad 2 0.300000 0.190966 0.021673 361 7.828729 0.956775 0.292150 0.064444
half 2 0.200000 0.400039 0.029403 1035 9.138996 0.579562 0.199245 0.053571
grad 2 0.200000 0.556239 0.027545 1047 9.236641 0.811013 0.195223 0.043217
half 2 0.100000 3.160557 0.043027 8115 12.109414 0.569346 0.099268 0.027089
grad 2 0.100000 3.759283 0.042164 6889 11.942816 0.788844 0.099591 0.022496
half 3 1.000000 0.000224 0.005629 1 0.000000 0.000000 0.837729 0.179095
grad 3 1.000000 0.000199 0.005587 1 0.000000 0.000000 0.837729 0.179095
half 3 0.900000 0.000205 0.005642 1 0.000000 0.000000 0.837729 0.179095
grad 3 0.900000 0.000209 0.005915 1 0.000000 0.000000 0.837729 0.179095
half 3 0.800000 0.000241 0.005764 1 0.000000 0.000000 0.837729 0.179095
grad 3 0.800000 0.000199 0.005641 1 0.000000 0.000000 0.837729 0.179095
half 3 0.700000 0.022959 0.011959 115 9.137931 2.921078 0.758312 0.184540
grad 3 0.700000 0.098240 0.015321 361 9.005525 1.585491 0.743102 0.159184
half 3 0.600000 0.237498 0.021438 1219 10.927869 1.706701 0.617505 0.157848
grad 3 0.600000 0.272993 0.020987 997 9.681363 1.203149 0.631703 0.138096
half 3 0.500000 0.732309 0.030573 3719 11.861290 1.308823 0.509714 0.124005
grad 3 0.500000 0.734697 0.028004 2719 10.812500 0.945262 0.496447 0.117201
half 3 0.400000 1.871551 0.041070 9427 12.933390 1.238702 0.396405 0.098932
grad 3 0.400000 1.800623 0.037232 6631 11.848311 0.634907 0.398056 0.094607
half 3 0.300000 5.133542 0.055426 25943 14.176688 1.047700 0.297470 0.074168
grad 3 0.300000 4.235315 0.046097 15721 13.135733 0.752401 0.305216 0.072103
half 3 0.200000 16.525322 0.074942 83751 15.836708 1.126295 0.199812 0.051273
grad 3 0.200000 15.654734 0.061818 58417 14.952754 0.577720 0.200866 0.045399
half 3 0.100000 119.958465 0.134680 613431 18.794507 1.187317 0.099407 0.025915
grad 3 0.100000 116.389378 0.111823 433731 17.844489 0.566611 0.098744 0.022740
